date,company,cik,form,ticker,sic,sic_description,is_biotech,biotech_identification_method
2021-10-22,"Brooklyn ImmunoTherapeutics, Inc.",0000748592,25,ERNA,2834,Pharmaceutical Preparations,True,"name_match:therapeutics,therapeutic;sic_2834"
2021-09-16,Soaring Eagle Acquisition Corp.,0001830214,25,DNA,2836,"Biological Products, (No Diagnostic Substances)",True,sic_2836
2021-08-11,Consonance-HFW Acquisition Corp.,0001824893,25,SRZN,2836,"Biological Products, (No Diagnostic Substances)",True,sic_2836
2021-06-16,VG Acquisition Corp.,0001804591,25,ME,2834,Pharmaceutical Preparations,True,sic_2834
2021-06-07,"InspireMD, Inc.",0001433607,25,NSPR,3841,Surgical & Medical Instruments & Apparatus,True,sic_3841
2021-05-24,AURORA CANNABIS INC,0001683541,25,ACB,2833,Medicinal Chemicals & Botanical Products,True,sic_2833
2021-05-20,"InspireMD, Inc.",0001433607,25,NSPR,3841,Surgical & Medical Instruments & Apparatus,True,sic_3841
2021-04-26,Bioceres Crop Solutions Corp.,0001769484,25,BIOX,2870,Agricultural Chemicals,True,name_match:bio
2021-03-05,OncoCyte Corp,0001642380,25,OCX,2835,In Vitro & In Vivo Diagnostic Substances,True,sic_2835
2021-02-01,CorMedix Inc.,0001410098,25,CRMD,2834,Pharmaceutical Preparations,True,sic_2834
2021-01-29,"Ra Medical Systems, Inc.",0001716621,25,VTAK,3841,Surgical & Medical Instruments & Apparatus,True,name_match:medical;sic_3841
2021-01-07,Social Capital Hedosophia Holdings Corp. III,0001801170,25,CLOV,6324,Hospital & Medical Service Plans,True,sic_6324
2020-12-28,AMGEN INC,0000318154,25,AMGN,2836,"Biological Products, (No Diagnostic Substances)",True,sic_2836
2020-12-28,"PDL BIOPHARMA, INC.",0000882104,25,,,,True,"name_match:pharma,bio"
2020-11-13,Canopy Growth Corp,0001737927,25,CGC,2833,Medicinal Chemicals & Botanical Products,True,sic_2833
2020-09-24,ASTRAZENECA PLC,0000901832,25,AZN,2834,Pharmaceutical Preparations,True,sic_2834
2020-05-20,Zyla Life Sciences,0001586105,25,,,,True,name_match:life sciences
2020-04-14,Benitec Biopharma LTD/ADR,0001552795,25,,,,True,"name_match:pharma,bio"
2020-02-10,CONMED CORP,0000816956,25,CNMD,3845,Electromedical & Electrotherapeutic Apparatus,True,sic_3845
2019-12-09,Motif Bio plc,0001674657,25,,,,True,name_match:bio
2019-12-06,"MRI INTERVENTIONS, INC.",0001285550,25,CLPT,3841,Surgical & Medical Instruments & Apparatus,True,sic_3841
2019-12-02,"Rafael Holdings, Inc.",0001713863,25,RFL,2834,Pharmaceutical Preparations,True,sic_2834
2019-09-23,"Avid Bioservices, Inc.",0000704562,25,CDMO,2834,Pharmaceutical Preparations,True,name_match:bio;sic_2834
2019-08-13,Oasmia Pharmaceutical AB,0001607245,25,,,,True,"name_match:pharma,pharmaceutical"
2019-06-07,"REXAHN PHARMACEUTICALS, INC.",0001228627,25,IRD,2834,Pharmaceutical Preparations,True,"name_match:pharma,pharmaceutical;sic_2834"
2018-12-31,Sanofi,0001121404,25,SNY,2834,Pharmaceutical Preparations,True,sic_2834
2018-12-31,BOVIE MEDICAL Corp,0000719135,25,APYX,3841,Surgical & Medical Instruments & Apparatus,True,name_match:medical;sic_3841
2018-09-24,INTREXON CORP,0001356090,25,PGEN,2834,Pharmaceutical Preparations,True,sic_2834
2018-07-17,Anthera Pharmaceuticals Inc,0001316175,25,,,,True,"name_match:pharma,pharmaceutical"
2018-03-05,"INNOVATE BIOPHARMACEUTICALS, INC.",0001551986,25,NMTRQ,2834,Pharmaceutical Preparations,True,"name_match:pharma,bio,pharmaceutical;sic_2834"
2018-01-08,QIAGEN NV,0001015820,25,QGEN,2836,"Biological Products, (No Diagnostic Substances)",True,sic_2836
2017-11-09,"Lombard Medical, Inc.",0001597426,25,,,,True,name_match:medical
2017-10-06,"AOXING PHARMACEUTICAL COMPANY, INC.",0001060426,25,,,,True,"name_match:pharma,pharmaceutical"
2017-10-06,"TherapeuticsMD, Inc.",0000025743,25,TXMD,2834,Pharmaceutical Preparations,True,"name_match:therapeutics,therapeutic;sic_2834"
2017-08-04,INTERLEUKIN GENETICS INC,0001037649,25,,,,True,name_match:genetics
2017-08-02,FLUIDIGM CORP,0001162194,25,LAB,3826,Laboratory Analytical Instruments,True,sic_3826
2017-05-05,"Altimmune, Inc.",0001326190,25,ALT,2834,Pharmaceutical Preparations,True,sic_2834
2017-04-27,Savara Inc,0001160308,25,SVRA,2834,Pharmaceutical Preparations,True,sic_2834
2016-12-30,"PUMA BIOTECHNOLOGY, INC.",0001401667,25,PBYI,2834,Pharmaceutical Preparations,True,"name_match:biotech,bio;sic_2834"
2016-12-21,Parnell Pharmaceuticals Holdings Ltd,0001603429,25,,,,True,"name_match:pharma,pharmaceutical"
2016-12-19,NORTHWEST BIOTHERAPEUTICS INC,0001072379,25,NWBO,2834,Pharmaceutical Preparations,True,"name_match:therapeutics,bio,therapeutic;sic_2834"
2016-12-09,CIPHER PHARMACEUTICALS INC,0001358575,25,,,,True,"name_match:pharma,pharmaceutical"
2016-11-14,TETRALOGIC PHARMACEUTICALS CORP,0001361248,25,,,,True,"name_match:pharma,pharmaceutical"
2016-08-05,"ORGANOVO HOLDINGS, INC.",0001497253,25,ONVO,2836,"Biological Products, (No Diagnostic Substances)",True,sic_2836
2016-06-23,"Opko Health, Inc.",0000944809,25,OPK,2834,Pharmaceutical Preparations,True,sic_2834
2016-06-16,TRUPANION INC.,0001371285,25,TRUP,6324,Hospital & Medical Service Plans,True,sic_6324
2016-06-02,Biotie Therapies Corp.,0001579695,25,,,,True,name_match:bio
2016-02-17,MASIMO CORP,0000937556,25,MASI,3845,Electromedical & Electrotherapeutic Apparatus,True,sic_3845
